Epoch,Train Acc,Val Acc,Train Loss,Val Loss,F1 Score,accuracy,F1 Macro,macro avg precision,macro avg recall,macro avg f1,macro avg support,weighted avg precision,weighted avg recall,weighted avg f1,weighted avg support,angry_f1,angry_precision,angry_recall,angry_support,calm_f1,calm_precision,calm_recall,calm_support,disgust_f1,disgust_precision,disgust_recall,disgust_support,fear_f1,fear_precision,fear_recall,fear_support,happy_f1,happy_precision,happy_recall,happy_support,neutral_f1,neutral_precision,neutral_recall,neutral_support,sad_f1,sad_precision,sad_recall,sad_support,surprise_f1,surprise_precision,surprise_recall,surprise_support
1,32.38,43.43,1.6094,1.4665,0.4203,0.4343,0.4227,0.4282,0.52,0.4227,17031.0,0.4591,0.4343,0.4203,17031.0,0.5631,0.49,0.662,2695,0.3296,0.1998,0.9398,266,0.3945,0.3837,0.4059,2695,0.359,0.4354,0.3054,2695,0.2715,0.4641,0.1918,2695,0.4858,0.4207,0.5748,2380,0.4172,0.5859,0.3239,2695,0.5612,0.4462,0.756,910
2,42.93,47.67,1.3683,1.3476,0.4627,0.4767,0.4588,0.4647,0.5621,0.4588,17031.0,0.504,0.4767,0.4627,17031.0,0.6253,0.5945,0.6594,2695,0.3403,0.2058,0.9812,266,0.3516,0.5739,0.2534,2695,0.4017,0.4708,0.3503,2695,0.332,0.4952,0.2497,2695,0.5231,0.4371,0.6513,2380,0.5247,0.4928,0.561,2695,0.5715,0.4477,0.7901,910
3,47.22,49.8,1.2666,1.2734,0.4934,0.498,0.4928,0.4867,0.5754,0.4928,17031.0,0.518,0.498,0.4934,17031.0,0.6261,0.688,0.5744,2695,0.374,0.2328,0.9511,266,0.4016,0.5197,0.3273,2695,0.415,0.4892,0.3603,2695,0.4183,0.4787,0.3714,2695,0.5274,0.4479,0.6412,2380,0.5375,0.4962,0.5863,2695,0.6429,0.5414,0.7912,910
4,49.67,51.49,1.2007,1.2239,0.5079,0.5149,0.5023,0.5001,0.5935,0.5023,17031.0,0.54,0.5149,0.5079,17031.0,0.6659,0.66,0.672,2695,0.3755,0.2329,0.9699,266,0.4394,0.5063,0.3881,2695,0.4457,0.5282,0.3855,2695,0.3923,0.5854,0.295,2695,0.538,0.4466,0.6765,2380,0.5468,0.549,0.5447,2695,0.6143,0.4924,0.8165,910
5,51.42,53.03,1.1536,1.1811,0.5254,0.5303,0.5214,0.509,0.6041,0.5214,17031.0,0.5426,0.5303,0.5254,17031.0,0.6716,0.6412,0.705,2695,0.3897,0.2441,0.9662,266,0.4631,0.5172,0.4193,2695,0.4293,0.5461,0.3536,2695,0.459,0.5195,0.4111,2695,0.5536,0.4978,0.6235,2380,0.5486,0.5556,0.5417,2695,0.656,0.5503,0.8121,910
6,52.85,53.07,1.1188,1.1699,0.5209,0.5307,0.5147,0.5154,0.6073,0.5147,17031.0,0.5557,0.5307,0.5209,17031.0,0.6768,0.6416,0.7161,2695,0.3772,0.2335,0.9812,266,0.4324,0.5728,0.3473,2695,0.4381,0.5747,0.354,2695,0.4301,0.5812,0.3414,2695,0.5698,0.5232,0.6256,2380,0.5605,0.4836,0.6664,2695,0.6325,0.5123,0.8264,910
7,54.43,54.33,1.0843,1.1406,0.5421,0.5433,0.5341,0.523,0.6149,0.5341,17031.0,0.5584,0.5433,0.5421,17031.0,0.688,0.6719,0.705,2695,0.3776,0.2334,0.9887,266,0.4697,0.51,0.4353,2695,0.4514,0.5709,0.3733,2695,0.4925,0.4983,0.4868,2695,0.5611,0.585,0.5391,2380,0.5664,0.5462,0.5881,2695,0.6658,0.5684,0.8033,910
8,55.14,54.86,1.0623,1.117,0.5466,0.5486,0.5408,0.5249,0.6216,0.5408,17031.0,0.5614,0.5486,0.5466,17031.0,0.6922,0.6646,0.7221,2695,0.4323,0.2775,0.9774,266,0.4883,0.5084,0.4698,2695,0.4733,0.48,0.4668,2695,0.4745,0.5703,0.4063,2695,0.5778,0.6154,0.5445,2380,0.5613,0.5857,0.5388,2695,0.6268,0.4974,0.8473,910
9,55.95,54.4,1.0375,1.116,0.5382,0.544,0.5344,0.5249,0.619,0.5344,17031.0,0.5628,0.544,0.5382,17031.0,0.6881,0.6445,0.738,2695,0.4464,0.2899,0.9699,266,0.4826,0.4503,0.5199,2695,0.4648,0.5792,0.3881,2695,0.4451,0.6048,0.3521,2695,0.5755,0.5894,0.5622,2380,0.5618,0.5691,0.5547,2695,0.6112,0.4719,0.867,910
10,56.79,55.97,1.0173,1.0928,0.5528,0.5597,0.5521,0.546,0.6302,0.5521,17031.0,0.5786,0.5597,0.5528,17031.0,0.6951,0.6519,0.7443,2695,0.4377,0.2826,0.9699,266,0.4971,0.5535,0.4512,2695,0.4601,0.6285,0.3629,2695,0.4915,0.5982,0.4171,2695,0.5765,0.4839,0.713,2380,0.5616,0.5655,0.5577,2695,0.6973,0.6037,0.8253,910
