epoch,timestamp,train_loss,train_accuracy,val_loss,val_accuracy,f1_weighted,f1_macro,angry_precision,angry_recall,angry_f1-score,angry_support,calm_precision,calm_recall,calm_f1-score,calm_support,disgust_precision,disgust_recall,disgust_f1-score,disgust_support,fear_precision,fear_recall,fear_f1-score,fear_support,happy_precision,happy_recall,happy_f1-score,happy_support,neutral_precision,neutral_recall,neutral_f1-score,neutral_support,sad_precision,sad_recall,sad_f1-score,sad_support,surprise_precision,surprise_recall,surprise_f1-score,surprise_support,accuracy_value,macro avg_precision,macro avg_recall,macro avg_f1-score,macro avg_support,weighted avg_precision,weighted avg_recall,weighted avg_f1-score,weighted avg_support
1,2025-04-21T03:14:41.174649,1.9332,25.29,1.8863,34.0,0.2926,0.3094,0.3999,0.541,0.4599,2695.0,0.174,0.9323,0.2933,266.0,0.0,0.0,0.0,2695.0,0.3572,0.328,0.342,2695.0,0.2494,0.0827,0.1243,2695.0,0.3332,0.5424,0.4128,2380.0,0.3655,0.3737,0.3695,2695.0,0.3468,0.7473,0.4737,910.0,0.34,0.2782,0.4434,0.3094,17031.0,0.2849,0.34,0.2926,17031.0
2,2025-04-21T03:39:02.154614,1.8257,36.23,1.8311,39.41,0.3578,0.3699,0.4866,0.6011,0.5378,2695.0,0.2002,0.9699,0.3318,266.0,0.6768,0.0412,0.0776,2695.0,0.5073,0.2583,0.3423,2695.0,0.3271,0.2212,0.2639,2695.0,0.3626,0.5542,0.4384,2380.0,0.3909,0.5098,0.4425,2695.0,0.388,0.811,0.5249,910.0,0.3941,0.4174,0.4958,0.3699,17031.0,0.4525,0.3941,0.3578,17031.0
3,2025-04-21T04:03:25.720173,1.7857,41.2,1.7999,43.36,0.4036,0.4101,0.4904,0.7109,0.5804,2695.0,0.2013,0.9662,0.3331,266.0,0.7367,0.134,0.2267,2695.0,0.4729,0.3039,0.37,2695.0,0.3726,0.1844,0.2467,2695.0,0.427,0.5508,0.4811,2380.0,0.4211,0.5547,0.4788,2695.0,0.4357,0.8,0.5641,910.0,0.4336,0.4447,0.5256,0.4101,17031.0,0.4807,0.4336,0.4036,17031.0
4,2025-04-21T04:27:44.391809,1.7622,43.58,1.7807,44.98,0.4291,0.4325,0.5621,0.6516,0.6035,2695.0,0.2334,0.9662,0.376,266.0,0.7108,0.1532,0.2521,2695.0,0.553,0.2827,0.3742,2695.0,0.3547,0.3143,0.3333,2695.0,0.4335,0.5571,0.4876,2380.0,0.4438,0.5748,0.5009,2695.0,0.3932,0.8253,0.5326,910.0,0.4498,0.4606,0.5407,0.4325,17031.0,0.5005,0.4498,0.4291,17031.0
5,2025-04-21T04:51:41.992670,1.7439,45.46,1.768,46.38,0.4474,0.4475,0.5814,0.6571,0.617,2695.0,0.218,0.9737,0.3563,266.0,0.5926,0.2126,0.3129,2695.0,0.5625,0.272,0.3667,2695.0,0.3887,0.315,0.348,2695.0,0.4407,0.5992,0.5078,2380.0,0.4588,0.5718,0.5091,2695.0,0.4273,0.8209,0.5621,910.0,0.4638,0.4588,0.5528,0.4475,17031.0,0.4967,0.4638,0.4474,17031.0
6,2025-04-21T05:17:19.799811,1.6533,55.57,1.678,55.49,0.5468,0.5306,0.694,0.7592,0.7251,2695.0,0.1965,1.0,0.3284,266.0,0.7634,0.2909,0.4213,2695.0,0.6922,0.4263,0.5277,2695.0,0.5709,0.3614,0.4426,2695.0,0.4614,0.8101,0.5879,2380.0,0.5855,0.5562,0.5705,2695.0,0.5034,0.8835,0.6414,910.0,0.5549,0.5584,0.636,0.5306,17031.0,0.6176,0.5549,0.5468,17031.0
7,2025-04-21T05:43:47.206262,1.5558,66.97,1.6375,60.55,0.6071,0.5921,0.7708,0.7039,0.7358,2695.0,0.253,0.9474,0.3994,266.0,0.6245,0.4393,0.5158,2695.0,0.5872,0.5161,0.5494,2695.0,0.5562,0.6078,0.5809,2695.0,0.6619,0.6458,0.6538,2380.0,0.6043,0.5989,0.6016,2695.0,0.5828,0.878,0.7006,910.0,0.6055,0.5801,0.6672,0.5921,17031.0,0.6249,0.6055,0.6071,17031.0
8,2025-04-21T06:09:25.879334,1.5,73.66,1.6331,61.57,0.6146,0.6145,0.7216,0.7673,0.7438,2695.0,0.3242,0.9323,0.4811,266.0,0.6047,0.4813,0.536,2695.0,0.5997,0.4998,0.5452,2695.0,0.6164,0.5599,0.5868,2695.0,0.5789,0.7029,0.6349,2380.0,0.5848,0.6104,0.5973,2695.0,0.8147,0.7681,0.7907,910.0,0.6157,0.6056,0.6653,0.6145,17031.0,0.6243,0.6157,0.6146,17031.0
9,2025-04-21T06:34:52.305118,1.4657,77.66,1.6351,61.16,0.6077,0.6071,0.7236,0.7596,0.7411,2695.0,0.3279,0.9023,0.481,266.0,0.5267,0.557,0.5414,2695.0,0.71,0.3889,0.5025,2695.0,0.6429,0.5317,0.582,2695.0,0.5949,0.7084,0.6467,2380.0,0.567,0.6278,0.5959,2695.0,0.701,0.8451,0.7663,910.0,0.6116,0.5992,0.6651,0.6071,17031.0,0.6274,0.6116,0.6077,17031.0
10,2025-04-21T07:00:21.396062,1.4437,80.28,1.6273,61.68,0.6149,0.6083,0.7108,0.7751,0.7416,2695.0,0.2979,0.9286,0.4511,266.0,0.6394,0.4705,0.5421,2695.0,0.6311,0.4939,0.5541,2695.0,0.5837,0.5744,0.579,2695.0,0.6204,0.6887,0.6527,2380.0,0.5871,0.6015,0.5942,2695.0,0.6819,0.8363,0.7512,910.0,0.6168,0.594,0.6711,0.6083,17031.0,0.6266,0.6168,0.6149,17031.0
11,2025-04-21T07:25:44.982944,1.4285,81.98,1.634,61.36,0.6107,0.6061,0.6693,0.7944,0.7265,2695.0,0.2999,0.9323,0.4538,266.0,0.6655,0.4304,0.5228,2695.0,0.5546,0.5803,0.5672,2695.0,0.6456,0.5069,0.5679,2695.0,0.6316,0.6786,0.6542,2380.0,0.592,0.5981,0.5951,2695.0,0.7122,0.8187,0.7618,910.0,0.6136,0.5963,0.6675,0.6061,17031.0,0.6258,0.6136,0.6107,17031.0
12,2025-04-21T07:51:11.201154,1.4166,83.46,1.6374,62.12,0.617,0.6142,0.6067,0.8442,0.706,2695.0,0.3545,0.6917,0.4688,266.0,0.6232,0.5106,0.5613,2695.0,0.5905,0.551,0.5701,2695.0,0.6493,0.5091,0.5707,2695.0,0.6241,0.6773,0.6496,2380.0,0.6521,0.5696,0.608,2695.0,0.7482,0.8132,0.7794,910.0,0.6212,0.6061,0.6458,0.6142,17031.0,0.6267,0.6212,0.617,17031.0
13,2025-04-21T08:16:46.174673,1.4058,84.75,1.625,62.93,0.6278,0.6311,0.728,0.7447,0.7362,2695.0,0.3779,0.8609,0.5252,266.0,0.6231,0.5043,0.5574,2695.0,0.6331,0.4731,0.5415,2695.0,0.6001,0.6204,0.6101,2695.0,0.6625,0.6748,0.6686,2380.0,0.5477,0.6876,0.6097,2695.0,0.8136,0.7868,0.8,910.0,0.6293,0.6233,0.6691,0.6311,17031.0,0.6376,0.6293,0.6278,17031.0
