Epoch,Train Acc,Val Acc,Train Loss,Val Loss,F1 Score,accuracy,macro avg_f1,weighted avg_f1,happy_f1,neutral_f1,sad_f1,surprise_f1,fear_f1,disgust_f1,calm_f1,angry_f1,happy_precision,neutral_precision,sad_precision,surprise_precision,fear_precision,disgust_precision,calm_precision,angry_precision,happy_recall,neutral_recall,sad_recall,surprise_recall,fear_recall,disgust_recall,calm_recall,angry_recall,happy_support,neutral_support,sad_support,surprise_support,fear_support,disgust_support,calm_support,angry_support
1,22.36,30.83,1.977,1.9152,0.2679,30.83,0.2788,0.2679,0.1384,0.3866,0.3241,0.4073,0.3207,0.0,0.2461,0.4068,0.2901,0.2932,0.3417,0.2942,0.3713,0.0,0.1409,0.374,0.0909,0.5676,0.3082,0.6615,0.2823,0.0,0.9737,0.4459,1155,1020,1155,390,1155,1155,114,1155
2,35.1,38.25,1.8565,1.8502,0.3404,38.25,0.3505,0.3404,0.2438,0.4462,0.4477,0.5147,0.3737,0.0,0.289,0.4894,0.353,0.4028,0.3655,0.4011,0.5168,0.0,0.1692,0.4237,0.1861,0.5,0.5775,0.7179,0.2926,0.0,0.9912,0.5792,1155,1020,1155,390,1155,1155,114,1155
3,40.33,40.96,1.8086,1.8173,0.3695,40.96,0.3788,0.3695,0.3122,0.4634,0.4784,0.5259,0.3936,0.0,0.3247,0.5321,0.3781,0.437,0.4008,0.3995,0.4471,0.0,0.1942,0.4877,0.2658,0.4931,0.5931,0.7692,0.3515,0.0,0.9912,0.5853,1155,1020,1155,390,1155,1155,114,1155
4,43.1,42.7,1.7823,1.7966,0.3845,42.7,0.3938,0.3845,0.3333,0.4898,0.4858,0.5468,0.3948,0.0,0.3338,0.5661,0.4144,0.4134,0.4089,0.4211,0.4974,0.0,0.2007,0.5337,0.2788,0.601,0.5983,0.7795,0.3273,0.0,0.9912,0.6026,1155,1020,1155,390,1155,1155,114,1155
5,44.83,43.84,1.7651,1.7841,0.3981,43.84,0.4061,0.3981,0.3732,0.5082,0.4945,0.5797,0.3808,0.0,0.3215,0.5907,0.3967,0.4468,0.4013,0.4651,0.5227,0.0,0.1919,0.5849,0.3524,0.5892,0.6442,0.7692,0.2996,0.0,0.9912,0.5965,1155,1020,1155,390,1155,1155,114,1155
6,46.67,46.53,1.751,1.7686,0.4391,46.53,0.4377,0.4391,0.3628,0.5247,0.5184,0.5661,0.4117,0.1692,0.3224,0.6263,0.4112,0.4743,0.4436,0.4428,0.5057,0.9727,0.1925,0.5871,0.3247,0.5873,0.6234,0.7846,0.3472,0.0926,0.9912,0.671,1155,1020,1155,390,1155,1155,114,1155
7,48.9,47.47,1.734,1.7581,0.4562,47.47,0.4518,0.4562,0.3577,0.5243,0.5258,0.5596,0.4221,0.2531,0.3324,0.6395,0.4518,0.4576,0.4653,0.4357,0.4512,0.8724,0.1996,0.6282,0.2961,0.6137,0.6043,0.7821,0.3965,0.1481,0.9912,0.6511,1155,1020,1155,390,1155,1155,114,1155
8,50.35,48.64,1.7206,1.747,0.4698,48.64,0.4647,0.4698,0.3706,0.537,0.5304,0.5903,0.4283,0.282,0.3271,0.652,0.4515,0.4584,0.4803,0.4799,0.4742,0.8553,0.1958,0.6272,0.3143,0.648,0.5922,0.7667,0.3905,0.1688,0.9912,0.6788,1155,1020,1155,390,1155,1155,114,1155
9,51.34,49.86,1.7107,1.7392,0.4787,49.86,0.4755,0.4787,0.3648,0.5499,0.5472,0.5784,0.4255,0.316,0.3675,0.6545,0.475,0.49,0.5018,0.4563,0.4804,0.7917,0.2265,0.576,0.2961,0.6265,0.6017,0.7897,0.3818,0.1974,0.9737,0.7576,1155,1020,1155,390,1155,1155,114,1155
10,52.12,50.05,1.7013,1.7327,0.4825,50.05,0.4767,0.4825,0.3642,0.5482,0.5398,0.5904,0.429,0.322,0.3429,0.6766,0.4919,0.4804,0.4581,0.4771,0.5126,0.825,0.2073,0.6346,0.2892,0.6382,0.6571,0.7744,0.3688,0.2,0.9912,0.7247,1155,1020,1155,390,1155,1155,114,1155
