Epoch,Train Loss,Val Loss,Train Accuracy,Val Accuracy,F1 Weighted,F1 Macro
1,2.0318,1.9741,16.7,20.35,0.1396,0.1547
2,1.9332,1.9077,24.12,28.61,0.1972,0.2272
3,1.8844,1.8704,31.12,34.07,0.2922,0.3073
4,1.8455,1.8408,36.68,37.16,0.3301,0.3439
5,1.8184,1.8166,39.47,40.4,0.3631,0.3738
6,1.7954,1.7998,41.8,41.68,0.3723,0.383
7,1.7801,1.7871,43.69,42.58,0.3825,0.3946
8,1.7652,1.7752,44.62,43.32,0.3891,0.3978
9,1.7527,1.7642,46.38,46.2,0.4415,0.4467
10,1.7407,1.7525,48.36,47.6,0.456,0.4582
11,1.7317,1.7451,49.34,47.84,0.4592,0.4594
12,1.7233,1.7367,50.45,48.99,0.4689,0.4688
13,1.7119,1.7306,51.12,48.99,0.471,0.4703
14,1.707,1.7248,51.45,49.94,0.4764,0.4772
15,1.7002,1.7209,51.9,50.43,0.4881,0.4861
16,1.6977,1.7167,52.84,50.55,0.4867,0.4873
17,1.6896,1.7136,53.13,51.46,0.4981,0.4945
18,1.6834,1.7091,53.36,51.54,0.5,0.4984
19,1.6806,1.7075,54.1,51.54,0.5012,0.498
20,1.6793,1.7035,54.37,51.75,0.4966,0.4945
21,1.6737,1.7012,54.5,52.24,0.5071,0.5041
22,1.6685,1.6993,55.37,51.91,0.503,0.5013
23,1.6674,1.6966,55.34,52.57,0.5085,0.5054
24,1.6653,1.6955,55.93,52.49,0.509,0.5055
25,1.6584,1.6953,56.21,52.53,0.5089,0.5091
26,1.658,1.6961,56.34,52.36,0.5082,0.5091
27,1.6567,1.6892,56.68,53.27,0.5142,0.5124
28,1.6507,1.6883,57.05,53.19,0.5144,0.5117
29,1.6491,1.6863,57.54,53.56,0.5191,0.516
30,1.6454,1.6883,57.51,53.72,0.5159,0.5172
